M,Lambda,ValidationERMS,TestingERMS
17,0,0.566663096956,0.565306309525
17,0.1,0.566726162504,0.564793147853
17,0.2,0.566980359091,0.56524118621
17,0.3,0.567303484832,0.565446660105
17,0.4,0.567166983098,0.565130736987
17,0.5,0.567092239567,0.565478984564
17,0.6,0.566755645024,0.565612078502
17,0.7,0.566792964948,0.565086219725
17,0.8,0.56704614276,0.565460258438
17,0.9,0.567045061691,0.56543321701
17,1.0,0.568478333121,0.566317131874
